AAPL,AAPL_VOL,XOM,XOM_VOL,JNJ,JNJ_VOL,JPM,JPM_VOL,PG,PG_VOL,CAT,CAT_VOL
41.26824188232422,135249600,54.3192253112793,13378800,105.58659362792967,5126800,94.74144744873048,12162500,66.07489776611328,10321800,136.99322509765625,4450800
42.08419799804688,152648800,55.23705673217773,16940400,106.3030014038086,6684400,95.9205551147461,16511200,66.5477294921875,9422200,138.07290649414062,6254400
41.94781494140625,155712400,54.29822540283203,14629500,105.98103332519533,7158600,94.7818374633789,17563300,65.65914154052734,8919600,136.023193359375,4127700
41.88431930541992,151128400,53.06512451171875,17087800,104.54024505615234,7985900,93.27965545654295,17735600,64.01234436035156,16862000,130.43080139160156,7298600
41.150672912597656,195208000,52.68680191040039,15696700,102.44752502441406,9424000,91.60787963867188,18690000,64.1590805053711,13504200,126.7193832397461,9434800
41.435203552246094,153816000,52.93200302124024,15630300,103.68706512451172,6910400,91.5190658569336,18353700,64.81130981445312,9317700,123.471923828125,9509400
41.5786361694336,113605600,53.43645095825195,14891000,104.46780395507812,5799800,92.92431640625,13933000,65.45530700683594,8177000,127.4700927734375,8453000
41.54336929321289,95154000,53.37339019775391,10754300,103.20413208007812,5546500,93.00506591796876,10674400,65.23518371582031,9085300,129.68850708007812,5795600
41.157711029052734,126814000,52.0282096862793,27255500,103.8641357421875,6391700,92.65779876708984,13006500,64.53408813476562,9089500,127.79906463623048,5491000
41.60684967041016,95096400,51.93010330200195,19299800,106.2949447631836,6423400,92.66587829589844,11173700,65.19444274902344,7951700,129.55349731445312,4105000
42.32168960571289,128740800,52.23838806152344,19714100,107.69547271728516,7557800,95.33099365234376,15366600,65.45530700683594,7662200,133.4842529296875,4576700
42.730865478515625,128828400,52.71481704711914,14226700,106.75373840332033,4942000,95.0241241455078,12339300,65.10476684570312,7182000,130.32113647460938,4880400
42.319332122802734,126774000,52.21736145019531,13739700,108.13812255859376,9152300,93.88536071777344,13312300,64.9906234741211,9620200,129.63790893554688,4819100
41.959571838378906,117473600,51.5657844543457,14820700,106.50421142578124,6770600,92.83545684814452,12905100,64.40364837646484,8898100,128.6678466796875,4873600
42.00895690917969,90975200,52.14028930664063,15640600,107.0998306274414,6147200,93.0697021484375,8748000,64.1346435546875,6996900,130.38015747070312,5268800
41.86080551147461,157618800,52.6307373046875,32109700,107.59886169433594,14233500,93.23123168945312,19888900,64.37920379638672,17715400,131.97434997558594,10897600
41.22121047973633,133787200,51.951133728027344,12744800,104.83001708984376,6017000,92.49626159667967,13214900,64.12647247314453,8368200,128.3389129638672,5479200
41.20709991455078,78597600,51.83903121948242,13003200,105.6107940673828,6214300,92.58512878417967,9921200,63.84114074707031,8465500,129.94996643066406,3557600
40.273563385009766,148219600,52.57468795776367,15418500,105.59466552734376,5158700,92.66587829589844,13633000,62.80580520629883,9822800,131.4176788330078,3887400
39.70452499389648,165963200,51.4957275390625,17737000,102.52799224853516,7560100,88.79737091064453,22550400,62.29220199584961,10481600,123.9104995727539,8225600
38.785099029541016,164115200,51.0683479309082,20157300,100.69283294677734,8452500,86.4229965209961,23081500,61.88456726074219,11728300,121.7089614868164,6533100
40.62628936767578,150164800,51.84604644775391,15032700,102.53604125976562,8358200,89.08814239501953,20217500,62.29220199584961,12937000,125.84211730957033,5454900
39.584590911865234,163690400,51.63584899902344,15821900,102.39118194580078,7789900,87.3598403930664,18039900,63.417236328125,11288200,123.98641204833984,4915300
